ticker,event_id,ex_date,payment_date,value_per_share,source
ENGI3,B3-RI:a1625497574120379f6901cdfda20a2c,2026-08-12,2026-08-24,0.1,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D61:J61
ENGI4,B3-RI:4719e028342c29992c63a1784ea4b56e,2016-03-01,2016-03-08,0.0572,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D28:J28
ENGI4,B3-RI:cbecc1ade65dc61ccfd57fc0d53adf2e,2016-08-18,2016-08-26,0.023,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D30:J30
ENGI4,B3-RI:c351fa29c94d66c992cdd9772b687df5,2017-02-23,2017-03-08,0.0572,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D31:J31
ENGI4,B3-RI:0f8a0ef360652601de4403622930d611,2017-08-15,2017-09-01,0.056,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D33:J33
ENGI4,B3-RI:2c280eb879106306fb3edc64e185801c,2018-03-01,2018-03-08,0.1,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D34:J34
ENGI4,B3-RI:9c009b62f9b1fe1af4697d664f33375d,2018-08-15,2018-09-04,0.056,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D36:J36
ENGI4,B3-RI:8782b071e01aad2014f40e5898ea505a,2019-02-28,2019-03-11,0.13,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D37:J37
ENGI4,B3-RI:3cc67129e2232689d394f4bfa52b1075,2019-03-25,2019-04-10,0.03,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D38:J38
ENGI4,B3-RI:f0869116d9a73bda8e09b27a76ba4022,2019-08-14,2019-08-23,0.056,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D40:J40
ENGI4,B3-RI:7b0d9be160162820e5ce2aa9066d119f,2020-02-28,2020-04-03,0.064,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D41:J41
ENGI4,B3-RI:5dbcecee9ad7ebdfc622340ae6aae7aa,2020-08-19,2020-08-26,0.056,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D43:J43
ENGI4,B3-RI:87876f2428e8e9a4acfc718c0301aa71,2021-03-22,2021-03-30,0.22,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D44:J44
ENGI4,B3-RI:130240877b12c93b41bf0569f621ccc6,2021-08-18,2021-09-29,0.13,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D46:J46
ENGI4,B3-RI:a4a858c22e6313bcac47b9dd60658e73,2022-01-03,2022-03-02,0.44,B3 CVM 15253 full paginated cash history + https://api.mziq.com/mzfilemanager/v2/d/60f49a2d-bd8c-4fd9-95ab-bdf833097a83/c1722b44-9139-333e-3545-30dc98ed51c0?origin=2; source manifests in delivery; reconciliation 2026-09-07; ESA - Holding!D47:J47
